time	V(pb_3v3)	V(reset_logic)	V(stm32_3v3)	I(R16)
0.000000000000000e+00	3.300000e+00	1.649999e-06	3.269053e+00	2.151472e-01
9.999999717180685e-10	3.300000e+00	1.649999e-06	3.269053e+00	2.151472e-01
1.999999943436137e-09	3.300000e+00	1.649999e-06	3.269053e+00	2.151472e-01
3.999999886872274e-09	3.300000e+00	1.649999e-06	3.269053e+00	2.151472e-01
7.999999773744548e-09	3.300000e+00	1.649999e-06	3.269053e+00	2.151472e-01
1.599999954748910e-08	3.300000e+00	1.649999e-06	3.269053e+00	2.151472e-01
3.199999909497819e-08	3.300001e+00	1.649999e-06	3.269054e+00	2.151473e-01
6.399999818995639e-08	3.300001e+00	1.650000e-06	3.269054e+00	2.151474e-01
1.279999963799128e-07	3.300002e+00	1.650000e-06	3.269055e+00	2.151476e-01
7.500799787862891e-05	3.301414e+00	1.650706e-06	3.270431e+00	2.153996e-01
1.498879957608779e-04	3.302825e+00	1.651412e-06	3.271806e+00	2.156521e-01
2.247679936431269e-04	3.304237e+00	1.652118e-06	3.273181e+00	2.159052e-01
2.996479915253759e-04	3.305648e+00	1.652823e-06	3.274557e+00	2.161588e-01
3.745279894076249e-04	3.307060e+00	1.653529e-06	3.275932e+00	2.164130e-01
4.494079872898739e-04	3.308471e+00	1.654235e-06	3.277306e+00	2.166677e-01
5.242879851721227e-04	3.309882e+00	1.654940e-06	3.278681e+00	2.169229e-01
1.048575970344245e-03	3.319762e+00	1.659880e-06	3.288301e+00	2.187242e-01
2.025138470344245e-03	3.338147e+00	1.669073e-06	3.306193e+00	2.221299e-01
3.001700970344245e-03	3.356497e+00	1.678248e-06	3.324043e+00	2.255981e-01
3.978263470344245e-03	3.374794e+00	1.687396e-06	3.341830e+00	2.291354e-01
4.954825970344245e-03	3.393020e+00	1.696509e-06	3.359537e+00	2.327400e-01
5.931388470344245e-03	3.411158e+00	1.705578e-06	3.377147e+00	2.364097e-01
6.907950970344245e-03	3.429192e+00	1.714595e-06	3.394644e+00	2.401425e-01
7.884513470344245e-03	3.447104e+00	1.723551e-06	3.412010e+00	2.439362e-01
8.861075970344245e-03	3.464878e+00	1.732438e-06	3.429230e+00	2.477884e-01
9.837638470344245e-03	3.482497e+00	1.741248e-06	3.446287e+00	2.516967e-01
1.179076347034425e-02	3.517203e+00	1.758601e-06	3.479847e+00	2.596712e-01
1.374388847034425e-02	3.551091e+00	1.775545e-06	3.512563e+00	2.678380e-01
1.666570815723389e-02	3.599984e+00	1.799991e-06	3.559731e+00	2.803549e-01
1.666666183155030e-02	3.600000e+00	1.799999e-06	3.519793e+00	2.803591e-01
