time	V(pb_3v3)	V(reset_logic)	V(stm32_3v3)	I(R16)
0.000000000000000e+00	3.300000e+00	1.649999e-06	3.262016e+00	2.646447e-01
9.999999717180685e-10	3.300000e+00	1.649999e-06	3.262016e+00	2.646447e-01
1.999999943436137e-09	3.300000e+00	1.649999e-06	3.262016e+00	2.646447e-01
3.999999886872274e-09	3.300000e+00	1.649999e-06	3.262016e+00	2.646447e-01
7.999999773744548e-09	3.300000e+00	1.649999e-06	3.262016e+00	2.646447e-01
1.599999954748910e-08	3.300000e+00	1.649999e-06	3.262016e+00	2.646447e-01
3.199999909497819e-08	3.300001e+00	1.649999e-06	3.262016e+00	2.646448e-01
6.399999818995639e-08	3.300001e+00	1.650000e-06	3.262017e+00	2.646449e-01
1.279999963799128e-07	3.300002e+00	1.650000e-06	3.262018e+00	2.646451e-01
2.559999927598255e-07	3.300005e+00	1.650002e-06	3.262020e+00	2.646455e-01
7.511771216124026e-05	3.301416e+00	1.650707e-06	3.263396e+00	2.648921e-01
1.499794243297207e-04	3.302827e+00	1.651413e-06	3.264772e+00	2.651395e-01
2.248411364982011e-04	3.304238e+00	1.652118e-06	3.266148e+00	2.653876e-01
2.997028486666816e-04	3.305649e+00	1.652824e-06	3.267523e+00	2.656364e-01
3.745645608351620e-04	3.307060e+00	1.653529e-06	3.268899e+00	2.658861e-01
4.494262730036424e-04	3.308471e+00	1.654235e-06	3.270274e+00	2.661364e-01
5.242879851721227e-04	3.309882e+00	1.654940e-06	3.271649e+00	2.663876e-01
1.048575970344245e-03	3.319762e+00	1.659880e-06	3.281272e+00	2.681659e-01
2.025138470344245e-03	3.338147e+00	1.669073e-06	3.299169e+00	2.715471e-01
3.001700970344245e-03	3.356497e+00	1.678248e-06	3.317021e+00	2.750118e-01
3.978263470344245e-03	3.374794e+00	1.687396e-06	3.334806e+00	2.785666e-01
4.954825970344245e-03	3.393020e+00	1.696509e-06	3.352510e+00	2.822062e-01
5.931388470344245e-03	3.411158e+00	1.705578e-06	3.370114e+00	2.859250e-01
6.907950970344245e-03	3.429192e+00	1.714595e-06	3.387604e+00	2.897170e-01
7.884513470344245e-03	3.447104e+00	1.723551e-06	3.404963e+00	2.935759e-01
8.861075970344245e-03	3.464878e+00	1.732438e-06	3.422175e+00	2.974953e-01
9.837638470344245e-03	3.482497e+00	1.741248e-06	3.439224e+00	3.014683e-01
1.179076347034425e-02	3.517203e+00	1.758601e-06	3.472772e+00	3.095464e-01
1.374388847034425e-02	3.551091e+00	1.775545e-06	3.505486e+00	3.177505e-01
1.666570815723389e-02	3.599984e+00	1.799991e-06	3.552680e+00	3.301234e-01
1.666666183155030e-02	3.600000e+00	1.799999e-06	3.496323e+00	3.301274e-01
1.666668860949345e-02	3.600000e+00	1.799999e-06	3.448208e+00	3.301275e-01
1.666674216537976e-02	3.600001e+00	1.800000e-06	3.277294e+00	3.301277e-01
1.666684927715236e-02	3.600003e+00	1.800001e-06	2.983151e+00	3.301282e-01
1.666706350069758e-02	3.600007e+00	1.800002e-06	2.479082e+00	3.301291e-01
1.666741435336156e-02	3.600012e+00	1.800005e-06	1.833536e+00	3.301306e-01
1.666791670395150e-02	3.600020e+00	1.800009e-06	1.175877e+00	3.301327e-01
1.666843776171399e-02	3.600029e+00	1.800014e-06	7.298542e-01	3.301349e-01
1.666899500198987e-02	3.600038e+00	1.800018e-06	4.351063e-01	3.301373e-01
1.666949783445134e-02	3.600046e+00	1.800022e-06	2.717138e-01	3.301394e-01
1.667002237712884e-02	3.600055e+00	1.800026e-06	1.673496e-01	3.301416e-01
1.667052728930736e-02	3.600063e+00	1.800031e-06	1.048155e-01	3.301438e-01
1.667105489530929e-02	3.600072e+00	1.800035e-06	6.439485e-02	3.301460e-01
1.667156590946295e-02	3.600080e+00	1.800039e-06	4.008179e-02	3.301482e-01
1.667208995588799e-02	3.600089e+00	1.800043e-06	2.468752e-02	3.301504e-01
1.667260204277438e-02	3.600097e+00	1.800048e-06	1.535824e-02	3.301525e-01
1.667312407491109e-02	3.600106e+00	1.800052e-06	9.478861e-03	3.301548e-01
1.667363804277476e-02	3.600114e+00	1.800056e-06	5.889696e-03	3.301570e-01
1.667415898574730e-02	3.600122e+00	1.800060e-06	3.639894e-03	3.301592e-01
1.667467418718624e-02	3.600131e+00	1.800064e-06	2.261150e-03	3.301613e-01
1.667519441037405e-02	3.600139e+00	1.800069e-06	1.400074e-03	3.301635e-01
1.667571080362332e-02	3.600148e+00	1.800073e-06	8.707294e-04	3.301657e-01
1.667623107249414e-02	3.600156e+00	1.800077e-06	5.409530e-04	3.301679e-01
1.667674913452981e-02	3.600165e+00	1.800081e-06	3.377937e-04	3.301701e-01
1.667727074815690e-02	3.600173e+00	1.800086e-06	2.114566e-04	3.301723e-01
1.667779209913288e-02	3.600182e+00	1.800090e-06	1.335121e-04	3.301745e-01
1.667831807953458e-02	3.600190e+00	1.800094e-06	8.510525e-05	3.301768e-01
1.667884721917631e-02	3.600199e+00	1.800099e-06	5.521426e-05	3.301790e-01
1.667938503421647e-02	3.600208e+00	1.800103e-06	3.667527e-05	3.301813e-01
1.667993353907430e-02	3.600217e+00	1.800107e-06	2.523210e-05	3.301836e-01
1.668050157101584e-02	3.600226e+00	1.800112e-06	1.815846e-05	3.301860e-01
1.668109770319099e-02	3.600235e+00	1.800117e-06	1.381794e-05	3.301885e-01
1.668173918034006e-02	3.600246e+00	1.800122e-06	1.117384e-05	3.301913e-01
1.668244756811522e-02	3.600258e+00	1.800128e-06	9.598427e-06	3.301942e-01
1.668325856116032e-02	3.600271e+00	1.800135e-06	8.693035e-06	3.301977e-01
1.668422236156213e-02	3.600286e+00	1.800142e-06	8.207337e-06	3.302018e-01
